system	doc	doc_id	seg_id	rater	source	target	category	severity
default	moedict_select	1032	2	rater2	各位親朋好友、前輩們，我「喝第一杯酒，講第一句話」較為越權，今天是主人七十歲生日，我們大家祝他平安順遂活到一百二十歲。	各位親情朋友、前輩，我「喝頭一杯，講頭一句話」較<v>無禮數</v>，今仔日是主人七十歲生日，咱逐家來共伊祝福身體健康食百二。	Locale/Other	Major
default	moedict_select	1032	3	rater2	各位親朋好友、前輩們，我「喝第一杯酒，講第一句話」較為越權，今天是主人七十歲生日，我們大家祝他平安順遂活到一百二十歲。	各位親情朋友、前輩，我「喝頭一杯，講頭一句話」較無禮數，今仔日是<v>主人</v>七十歲生日，咱逐家來共伊祝福身體健康食百二。	Accuracy/Mistranslation	Minor
default	moedict_select	1042	0	rater2	我們鄰居一個老陳在商船上當二副，收入很好，想不到一次出海之後船竟消失了，到現在十多年了都音訊全無，真的是「航海走馬三分命」。	阮厝邊一个老陳佇商船頂做二副，<v>趁甲流油</v>，想袂到一擺出去海頂船煞無去，到今十外年攏無消無息，有影是「行船走馬三分命」。	Purity/	Major
default	moedict_select	1042	1	rater2	我們鄰居一個老陳在商船上當二副，收入很好，想不到一次出海之後船竟消失了，到現在十多年了都音訊全無，真的是「航海走馬三分命」。	阮厝邊一个老陳佇商船頂做二副，趁甲流油，想袂到一擺<v>出去海頂</v>船煞無去，到今十外年攏無消無息，有影是「行船走馬三分命」。	Purity/	Major
default	moedict_select	1042	2	rater2	我們鄰居一個老陳在商船上當二副，收入很好，想不到一次出海之後船竟消失了，到現在十多年了都音訊全無，真的是「航海走馬三分命」。	阮厝邊一个老陳佇商船頂做二副，趁甲流油，想袂到一擺出去海頂船煞<v>無去</v>，到今十外年攏無消無息，有影是「行船走馬三分命」。	Locale/Other	Minor
default	moedict_select	1047	0	rater2	現在在新北市土城區的大墓公聽說與之前的林爽文事件、漳泉械鬥都有關係。	這馬佇新北市的<v>三峽區大豹溪遐的祖師廟</v>聽講佮進前的林爽文事件、漳泉械鬥攏有關係。	Accuracy/Mistranslation	Major
default	moedict_select	1047	1	rater2	現在在新北市土城區的大墓公聽說與之前的林爽文事件、漳泉械鬥都有關係。	這馬佇新北市的三峽區大豹溪遐的祖師廟聽講佮進前的林爽文事件、<v>漳泉械鬥</v>攏有關係。	Terminology/Inappropriate	Major
default	moedict_select	12	0	rater1	犯罪的人，要隨時有認罪並接受法律制裁的準備。	犯法的人，愛<v>隨</v>有認毋著閣來受法律的制裁的準備。	Fluency/Register	Minor
default	moedict_select	12	1	rater1	犯罪的人，要隨時有認罪並接受法律制裁的準備。	犯法的人，愛隨有<v>認毋著</v>閣來受法律的制裁的準備。	Fluency/Register	Minor
default	moedict_select	12	2	rater1	犯罪的人，要隨時有認罪並接受法律制裁的準備。	犯法的人，愛隨有認毋著<v>閣來</v>受法律的制裁的準備。	Accuracy/Mistranslation	Major
default	moedict_select	12	3	rater1	犯罪的人，要隨時有認罪並接受法律制裁的準備。	犯法的人，愛隨有認毋著閣來受法律<v>的</v>制裁的準備。	Accuracy/Addition	Minor
default	moedict_select	14	0	rater1	今天十六號，有很多生意人備牲祭拜土地公和孤魂野鬼。	今仔日十六，有真濟生理人攢牲醴來拜土地公佮孤魂野鬼。	no-error	no-error
default	moedict_select	24	0	rater1	夏天配種用的雄性豬隻需要沖水，才不會中暑。	熱天<v>飼精牲仔</v>著愛洗身軀，較袂熱著。	Accuracy/Mistranslation	Major
default	moedict_select	24	1	rater1	夏天配種用的雄性豬隻需要沖水，才不會中暑。	熱天飼精牲仔著愛<v>洗身軀</v>，較袂熱著。	Accuracy/Mistranslation	Major
default	moedict_select	24	2	rater1	夏天配種用的雄性豬隻需要沖水，才不會中暑。	熱天飼精牲仔著愛洗身軀，<v>較</v>袂熱著。	Accuracy/Mistranslation	Minor
default	moedict_select	31	0	rater1	過年過節的時候，村莊裡頭請戲班子來演戲的錢都是大家一起分攤的。	<v>年冬節日</v>的時陣，庄頭內面請戲班仔來搬戲的錢攏是逐家相放伴。	Accuracy/Mistranslation	Minor
default	moedict_select	31	1	rater1	過年過節的時候，村莊裡頭請戲班子來演戲的錢都是大家一起分攤的。	年冬節日的時陣，庄頭內面請戲班仔來搬戲的錢攏是逐家<v>相放伴</v>。	Accuracy/Mistranslation	Major
default	moedict_select	43	0	rater1	我的孫子很喜歡糕粿類的食品，甜的、鹹的他都喜歡。	阮孫仔足愛食粿類的物件，甜的、鹹的攏愛食。	no-error	no-error
default	moedict_select	45	0	rater1	你沒聽人家說「勤奮耕耘，就會有好的食物，而懶惰者就只能吞口水」嗎？只要肯做就不怕沒東西吃，最怕的是只想吃卻不去工作賺錢，可能就得倚靠他人生活了。	你無聽人講「<v>一粒米百粒汗</v>」、「食飯皇帝大」是毋？只要肯做就免驚無物件通食，上驚的是想欲食毋做工課趁錢，可能著愛靠別人過日矣。	Accuracy/Mistranslation	Major
default	moedict_select	45	1	rater1	你沒聽人家說「勤奮耕耘，就會有好的食物，而懶惰者就只能吞口水」嗎？只要肯做就不怕沒東西吃，最怕的是只想吃卻不去工作賺錢，可能就得倚靠他人生活了。	你無聽人講「一粒米百粒汗」、「<v>食飯皇帝大</v>」是毋？只要肯做就免驚無物件通食，上驚的是想欲食毋做工課趁錢，可能著愛靠別人過日矣。	Accuracy/Mistranslation	Major
default	moedict_select	45	2	rater1	你沒聽人家說「勤奮耕耘，就會有好的食物，而懶惰者就只能吞口水」嗎？只要肯做就不怕沒東西吃，最怕的是只想吃卻不去工作賺錢，可能就得倚靠他人生活了。	你無聽人講「一粒米百粒汗」、「食飯皇帝大」是毋？只要肯做就免驚無物件通食，上驚的是想欲食<v>毋</v>做工課趁錢，可能著愛靠別人過日矣。	Accuracy/Omission	Major
default	moedict_select	46	0	rater1	那個被神明附身的乩童，在神明離開後，全身都無力了。	彼个<v>予神明附身過的乩童，神明走了後</v>，規身軀攏無氣力矣。	Purity/None	Minor
default	moedict_select	49	0	rater1	那兩個小孩子口中含水互相噴洒，很噁心骯髒呢。	彼兩个囡仔<v>喙內含水相噴</v>，真垃圾。	Other/None	Minor
default	moedict_select	49	1	rater1	那兩個小孩子口中含水互相噴洒，很噁心骯髒呢。	彼兩个囡仔喙內含水相噴，<v>真垃圾</v>。	Accuracy/Omission	Minor
default	moedict_select	51	0	rater1	像你這樣好逸惡勞，我看這一輩子都不會有出息了。	親像你這款<v>食好做輕可</v>，我看這世人袂大才情矣。	Accuracy/Mistranslation	Major
default	moedict_select	51	1	rater1	像你這樣好逸惡勞，我看這一輩子都不會有出息了。	親像你這款食好做輕可，我看這世人<v>袂大才情</v>矣。	Accuracy/Mistranslation	Major
default	moedict_select	54	0	rater1	馬上就要考試了，還一副漫不經心，無所謂的樣子。	<v>隨</v>欲考矣，閣彼號冗剩面，無要緊的款。	Fluency/Register	Minor
default	moedict_select	54	1	rater1	馬上就要考試了，還一副漫不經心，無所謂的樣子。	隨欲<v>考</v>矣，閣彼號冗剩面，無要緊的款。	Fluency/Register	Minor
default	moedict_select	54	2	rater1	馬上就要考試了，還一副漫不經心，無所謂的樣子。	隨欲考矣，閣彼號<v>冗剩面</v>，無要緊的款。	Purity/None	Major
default	moedict_select	54	3	rater1	馬上就要考試了，還一副漫不經心，無所謂的樣子。	隨欲考矣，閣彼號冗剩面，<v>無要緊</v>的款。	Fluency/Register	Minor
default	moedict_select	56	0	rater1	「沒出太陽，不知已過了中午；沒留鬍子，不知人已老邁」，年輕時的理想依然沒有實現，眨眼間我們都已老年將至了。	<v>「無日頭，毋知已經過晝時矣；無留喙鬚，毋知人已經食甲老矣」</v>，少年時的理想猶原無完成，目一下𥍉咱攏老矣。	Purity/None	Minor
default	moedict_select	56	1	rater1	「沒出太陽，不知已過了中午；沒留鬍子，不知人已老邁」，年輕時的理想依然沒有實現，眨眼間我們都已老年將至了。	「無日頭，毋知已經過晝時矣；無留喙鬚，毋知人已經食甲老矣」，少年時的理想猶原無完成，目一下𥍉咱攏<v>老</v>矣。	Purity/None	Minor
default	moedict_select	64	0	rater1	小時候要好好學習，長大之後才能有所成就。	細漢著愛<v>好</v>育飼，大漢了後才有出脫。	Accuracy/Mistranslation	Major
default	moedict_select	64	1	rater1	小時候要好好學習，長大之後才能有所成就。	細漢著愛好<v>育飼</v>，大漢了後才有出脫。	Accuracy/Mistranslation	Major
default	moedict_select	68	0	rater1	你就是命太好了，才會吃飯不知米價，不懂民生疾苦。	你就是<v>命好</v>，才會食飯毋知米價，毋捌民瘼。	Purity/None	Major
default	moedict_select	68	1	rater1	你就是命太好了，才會吃飯不知米價，不懂民生疾苦。	你就是命好，才會<v>食飯毋知米價</v>，毋捌民瘼。	Purity/None	Minor
default	moedict_select	68	2	rater1	你就是命太好了，才會吃飯不知米價，不懂民生疾苦。	你就是命好，才會食飯毋知米價<v>，毋捌民瘼。</v>	Accuracy/Addition	Minor
default	moedict_select	73	0	rater1	俗話說：「三年一次閏月，風水輪流轉。」艱難困苦總有過去的時候，稍微忍耐一下，就會走出霉運了。	俗語講：「三年一閏，好歹照輪。」艱苦<v>過日</v>總是會過去，小可仔忍耐咧，就通脫離衰運矣。	Accuracy/Addition	Minor
default	moedict_select	73	1	rater1	俗話說：「三年一次閏月，風水輪流轉。」艱難困苦總有過去的時候，稍微忍耐一下，就會走出霉運了。	俗語講：「三年一閏，好歹照輪。」艱苦過日總是會過去，<v>小可仔忍耐咧</v>，就通脫離衰運矣。	Fluency/Other	Minor
default	moedict_select	73	2	rater1	俗話說：「三年一次閏月，風水輪流轉。」艱難困苦總有過去的時候，稍微忍耐一下，就會走出霉運了。	俗語講：「三年一閏，好歹照輪。」艱苦過日總是會過去，小可仔忍耐咧，<v>就通脫離衰運矣</v>。	Style/Other	Minor
default	moedict_select	76	0	rater1	在祖先的忌辰祭拜時，咱們得要燃香召請他們來享用酒菜	<v>佇祖公仔生忌咧拜拜的時陣</v>，阮著愛燒香叫伊來食飯	Locale/Other	Minor
default	moedict_select	76	1	rater1	在祖先的忌辰祭拜時，咱們得要燃香召請他們來享用酒菜	佇祖公仔生忌咧拜拜的時陣，阮著愛燒香<v>叫伊</v>來食飯	Accuracy/Mistranslation	Major
default	moedict_select	77	0	rater1	俗話說：「媒人只保證雙方完婚入洞房，不能保證一輩子平順。」婚姻要想甜蜜蜜、夫妻要想白頭偕老，全靠你們自己囉！	俗語講：「<v>媒人干焦會當共人做親情，袂當予人食百二</v>。」婚姻欲好甲按怎，翁仔某著愛好好仔拍拚喔！	Accuracy/Mistranslation	Major
default	moedict_select	77	1	rater1	俗話說：「媒人只保證雙方完婚入洞房，不能保證一輩子平順。」婚姻要想甜蜜蜜、夫妻要想白頭偕老，全靠你們自己囉！	俗語講：「媒人干焦會當共人做親情，袂當予人食百二。」婚姻<v>欲好甲按怎，</v>翁仔某著愛好好仔拍拚喔！	Accuracy/Mistranslation	Minor
default	moedict_select	77	2	rater1	俗話說：「媒人只保證雙方完婚入洞房，不能保證一輩子平順。」婚姻要想甜蜜蜜、夫妻要想白頭偕老，全靠你們自己囉！	俗語講：「媒人干焦會當共人做親情，袂當予人食百二。」婚姻欲好甲按怎，翁仔某<v>著愛好好仔拍拚喔！</v>	Accuracy/Mistranslation	Major
default	moedict_select	85	0	rater1	即使是住在隔壁的親家，必要的禮節還是要遵守，這樣會使得人跟人的關係更親切也更緊密。	<v>就算是蹛佇隔壁的親情，基本的禮數嘛著愛有</v>，按呢才會當予人佮人的感情較好咧。	Locale/Other	Minor
default	moedict_select	85	1	rater1	即使是住在隔壁的親家，必要的禮節還是要遵守，這樣會使得人跟人的關係更親切也更緊密。	就算是蹛佇隔壁的親情，基本的禮數嘛著愛有，按呢才會當<v>予人佮人的感情較好咧</v>。	Accuracy/Omission	Minor
default	moedict_select	87	0	rater1	政府或父母管得愈嚴格，人民或小孩就更會感到厭惡，容易搞鬼耍花招，難怪人家說：「過於嚴苛的官府，小偷反而更加猖狂；父母管教過嚴，小孩越是不成材。」	政府抑是序大人若較嚴格咧管，人抑是囡仔就會感覺<v>伊足厭𤺪</v>，𠢕變鬼變怪，莫怪人講：「管傷嚴的官府，賊仔顛倒較猖狂；管教傷嚴的爸母，囡仔攏袂成器。」	Accuracy/Mistranslation	Major
default	moedict_select	87	1	rater1	政府或父母管得愈嚴格，人民或小孩就更會感到厭惡，容易搞鬼耍花招，難怪人家說：「過於嚴苛的官府，小偷反而更加猖狂；父母管教過嚴，小孩越是不成材。」	政府抑是序大人若較嚴格咧管，人抑是囡仔就會感覺伊足厭𤺪，𠢕變鬼變怪，莫怪人講：「管傷嚴的官府，賊仔顛倒較<v>猖狂</v>；管教傷嚴的爸母，囡仔攏袂成器。」	Fluency/Register	Minor
default	moedict_select	87	2	rater1	政府或父母管得愈嚴格，人民或小孩就更會感到厭惡，容易搞鬼耍花招，難怪人家說：「過於嚴苛的官府，小偷反而更加猖狂；父母管教過嚴，小孩越是不成材。」	政府抑是序大人若較嚴格咧管，人抑是囡仔就會感覺伊足厭𤺪，𠢕變鬼變怪，莫怪人講：「管傷嚴的官府，賊仔顛倒較猖狂；管教傷嚴的爸母，囡仔<v>攏袂成器</v>。」	Purity/None	Major
default	moedict_select	87	3	rater1	政府或父母管得愈嚴格，人民或小孩就更會感到厭惡，容易搞鬼耍花招，難怪人家說：「過於嚴苛的官府，小偷反而更加猖狂；父母管教過嚴，小孩越是不成材。」	政府抑是序大人若較嚴格咧管，人抑是囡仔就會感覺伊足厭𤺪，𠢕變鬼變怪，莫怪人講：「<v>管傷嚴的官府，賊仔顛倒較猖狂；管教傷嚴的爸母，囡仔攏袂成器</v>。」	Locale/Other	Minor
default	moedict_select	91	0	rater1	牽罟只要靠到繩索便能分到好處，懷孕的人分雙份。	掠魚<v>干焦</v>倚著索仔就會分著魚獲，有身的人會當分兩份。	Fluency/Register	Minor
default	moedict_select	91	1	rater1	牽罟只要靠到繩索便能分到好處，懷孕的人分雙份。	<v>掠魚</v>干焦倚著索仔就會分著魚獲，有身的人會當分兩份。	Purity/None	Major
default	moedict_select	91	2	rater1	牽罟只要靠到繩索便能分到好處，懷孕的人分雙份。	<v>掠魚干焦倚著索仔就會分著魚獲，有身的人會當分兩份</v>。	Locale/Other	Minor
default	moedict_select	92	0	rater1	流行性感冒已經蔓延擴大了，你們大家要預先防備。	流行感冒已經<v>湠甲規四界矣</v>，恁逐家著愛提早預防。	Accuracy/Mistranslation	Major
default	moedict_select	96	0	rater1	你昨天晚上是去當小偷是不是？不然，為什麼精神會這麼差？	你昨暝是去<v>共人偷提物件</v>無？若無，哪會精神遮爾䆀？	Locale/Other	Minor
default	moedict_select	96	1	rater1	你昨天晚上是去當小偷是不是？不然，為什麼精神會這麼差？	你昨暝是去共人偷提物件<v>無</v>？若無，哪會精神遮爾䆀？	Accuracy/Mistranslation	Major
