repeat,fold,outer_iter,n_test,best_candidate,inner_mean_micro_sf1,micro_sp,micro_sr,micro_sf1,micro_mp,micro_mr,micro_mf1,pearson,spearman,kendall
3,4,19,28,A,0.692432,0.728571,0.689189,0.708333,0.661417,0.641221,0.651163,0.441829,0.626411,0.456413
4,0,20,29,D,0.699852,0.651786,0.605809,0.627957,0.504202,0.472441,0.487805,0.685931,0.653080,0.529212
4,1,21,29,A,0.676272,0.836634,0.692623,0.757848,0.786885,0.666667,0.721805,0.705025,0.670334,0.495438
4,2,22,29,A,0.702586,0.724868,0.533074,0.614350,0.575000,0.676471,0.621622,0.666431,0.764960,0.589515
4,3,23,28,D,0.681843,0.775785,0.652830,0.709016,0.515625,0.622642,0.564103,0.476064,0.507412,0.350024
4,4,24,28,A,0.690420,0.778281,0.630037,0.696356,0.480000,0.865979,0.617647,0.531319,0.477385,0.367806
5,0,25,29,D,0.700413,0.703883,0.570866,0.630435,0.658915,0.634328,0.646388,0.762583,0.690342,0.569278
5,1,26,29,A,0.684521,0.759690,0.728625,0.743833,0.491892,0.777778,0.602649,0.458631,0.544193,0.428224
5,2,27,29,A,0.690412,0.668161,0.674208,0.671171,0.524194,0.550847,0.537190,0.774348,0.752277,0.599244
5,3,28,28,A,0.709647,0.742690,0.520492,0.612048,0.627451,0.556522,0.589862,0.567741,0.674581,0.500033
5,4,29,28,B,0.689820,0.728000,0.623288,0.671587,0.407895,0.673913,0.508197,0.578049,0.593146,0.470859
6,0,30,29,A,0.686137,0.780702,0.644928,0.706349,0.449664,0.663366,0.536000,0.689099,0.649601,0.527058
6,1,31,29,A,0.693066,0.749049,0.650165,0.696113,0.608466,0.672515,0.638889,0.683396,0.772606,0.623541
6,2,32,29,A,0.687608,0.750000,0.584838,0.657201,0.483607,0.556604,0.517544,0.554885,0.567404,0.419908
6,3,33,28,D,0.694240,0.727273,0.636364,0.678788,0.731959,0.788889,0.759358,0.556631,0.590339,0.482976
6,4,34,28,A,0.696143,0.721973,0.649194,0.683652,0.489051,0.620370,0.546939,0.506303,0.422752,0.318382
7,0,35,29,D,0.679949,0.763699,0.653959,0.704581,0.551724,0.751678,0.636364,0.591975,0.543121,0.422789
7,1,36,29,A,0.712818,0.704082,0.541176,0.611973,0.741935,0.593548,0.659498,0.503263,0.561795,0.433379
7,2,37,29,A,0.687169,0.796296,0.637037,0.707819,0.496454,0.744681,0.595745,0.619775,0.723309,0.565338
7,3,38,28,D,0.681285,0.713568,0.689320,0.701235,0.433333,0.666667,0.525253,0.578049,0.466732,0.386912
7,4,39,28,A,0.696933,0.684729,0.668269,0.676399,0.560748,0.600000,0.579710,0.666759,0.566522,0.456614
8,0,40,29,A,0.665050,0.811765,0.721254,0.763838,0.401130,0.622807,0.487973,0.506464,0.575332,0.424457
8,1,41,29,A,0.696603,0.776699,0.610687,0.683761,0.547619,0.718750,0.621622,0.758162,0.725390,0.609435
8,2,42,29,A,0.711990,0.746341,0.556364,0.637500,0.651316,0.692308,0.671186,0.729982,0.673192,0.547716
8,3,43,28,A,0.696263,0.732057,0.665217,0.697039,0.654545,0.642857,0.648649,0.502312,0.450798,0.340552
8,4,44,28,A,0.698832,0.694444,0.663717,0.678733,0.539683,0.612613,0.573840,0.595635,0.709705,0.520117
9,0,45,29,A,0.702756,0.733840,0.612698,0.667820,0.407407,0.628571,0.494382,0.733540,0.702663,0.570664
9,1,46,29,B,0.698037,0.726804,0.559524,0.632287,0.344828,0.625000,0.444444,0.487610,0.555563,0.419486
9,2,47,29,A,0.689399,0.719298,0.722467,0.720879,0.580645,0.762712,0.659341,0.505333,0.651197,0.501364
9,3,48,28,A,0.674637,0.853448,0.685121,0.760077,0.727273,0.710059,0.718563,0.675418,0.690330,0.590866
9,4,49,28,A,0.708766,0.631016,0.598985,0.614583,0.638298,0.500000,0.560748,0.673005,0.606637,0.459223
